t (ms),Ina (pA)
6.89,0.021911876
6.9,0.021870136
6.91,0.021828771
6.92,0.021787777
6.93,0.021747151
6.94,0.021706889
6.95,0.021666989
6.96,0.021627447
6.97,0.02158826
6.98,0.021549425
6.99,0.021510938
7,0.021472796
7.01,0.021434997
7.02,0.021397537
7.03,0.021360413
7.04,0.021323623
7.05,0.021287162
7.06,0.021251029
7.07,0.02121522
7.08,0.021179732
7.09,0.021144563
7.1,0.02110971
7.11,0.021075169
7.12,0.021040938
7.13,0.021007015
7.14,0.020973396
7.15,0.020940078
7.16,0.02090706
7.17,0.020874338
7.18,0.020841909
7.19,0.020809772
7.2,0.020777923
7.21,0.02074636
7.22,0.02071508
7.23,0.020684081
7.24,0.02065336
7.25,0.020622915
7.26,0.020592743
7.27,0.020562841
7.28,0.020533208
7.29,0.020503841
7.3,0.020474738
7.31,0.020445896
7.32,0.020417312
7.33,0.020388986
7.34,0.020360913
7.35,0.020333092
7.36,0.020305521
7.37,0.020278198
7.38,0.020251119
7.39,0.020224284
7.4,0.020197689
7.41,0.020171333
7.42,0.020145214
7.43,0.020119329
7.44,0.020093677
7.45,0.020068254
7.46,0.02004306
7.47,0.020018092
7.48,0.019993348
7.49,0.019968826
7.5,0.019944524
7.51,0.01992044
7.52,0.019896572
7.53,0.019872919
7.54,0.019849477
7.55,0.019826247
7.56,0.019803224
7.57,0.019780408
7.58,0.019757797
7.59,0.019735389
7.6,0.019713182
7.61,0.019691175
7.62,0.019669364
7.63,0.01964775
7.64,0.019626329
7.65,0.019605101
7.66,0.019584064
7.67,0.019563215
7.68,0.019542553
7.69,0.019522076
7.7,0.019501784
7.71,0.019481673
7.72,0.019461743
7.73,0.019441992
7.74,0.019422418
7.75,0.01940302
7.76,0.019383796
7.77,0.019364744
7.78,0.019345863
7.79,0.019327152
7.8,0.019308609
7.81,0.019290232
7.82,0.01927202
7.83,0.019253972
7.84,0.019236085
7.85,0.019218359
7.86,0.019200792
7.87,0.019183383
7.88,0.01916613
7.89,0.019149032
7.9,0.019132087
7.91,0.019115294
7.92,0.019098652
7.93,0.019082159
7.94,0.019065815
7.95,0.019049617
7.96,0.019033564
7.97,0.019017656
7.98,0.01900189
7.99,0.018986266
8,0.018970782
8,0.044240963
8.01,0.025166848
8.02,0.002299384
8.03,0.000162271
8.04,1.03E-05
8.05,6.16E-07
8.06,3.60E-08
8.07,2.12E-09
8.08,1.34E-10
8.09,1.06E-11
8.1,1.38E-12
8.11,2.29E-13
8.12,2.29E-13
